f_A	feminine noun/adjective ending in A	Kale 36
opt-7a	optative of class 7 verb, active voice	Kale 254
opt-7m	optative of class 7 verb, middle voice	Kale 254
opt-8a	optative of class 8 verb, active voice	Kale 254
opt-8m	optative of class 8 verb, middle voice	Kale 254
opt-9a	optative of class 9 verb, active voice	Kale 254
opt-9m	optative of class 9 verb, middle voice	Kale 254
opt-ca	optative of causal, active voice	Kale 368
opt-cm	optative of causal, middle voice	Kale 368
opt-cp	optative of causal, passive voice	Kale 368
opt-p	optative , passive voice	Kale 360
pft-a	periphrastic future , active voice	Kale 300
pft-ca	periphrastic future of causal, active voice	Kale 368
pft-cm	periphrastic future of causal, middle voice	Kale 368
pft-m	periphrastic future , middle voice	Kale 300
pre-10a	present of class 10 verb, active voice	Kale 241
pre-10m	present of class 10 verb, middle voice	Kale 241
pre-1a	present of class 1 verb, active voice	Kale 241
pre-1m	present of class 1 verb, middle voice	Kale 241
pre-2a	present of class 2 verb, active voice	Kale 254
pre-2m	present of class 2 verb, middle voice	Kale 254
pre-3a	present of class 3 verb, active voice	Kale 254
pre-3m	present of class 3 verb, middle voice	Kale 254
pre-4a	present of class 4 verb, active voice	Kale 241
pre-4m	present of class 4 verb, middle voice	Kale 241
pre-5a	present of class 5 verb, active voice	Kale 254
pre-5m	present of class 5 verb, middle voice	Kale 254
pre-6a	present of class 6 verb, active voice	Kale 241
pre-6m	present of class 6 verb, middle voice	Kale 241
pre-7a	present of class 7 verb, active voice	Kale 254
pre-7m	present of class 7 verb, middle voice	Kale 254
pre-8a	present of class 8 verb, active voice	Kale 254
pre-8m	present of class 8 verb, middle voice	Kale 254
pre-9a	present of class 9 verb, active voice	Kale 254
pre-9m	present of class 9 verb, middle voice	Kale 254
pre-ca	present of causal, active voice	Kale 368
pre-cm	present of causal, middle voice	Kale 368
pre-cp	present of causal, passive voice	Kale 368
pre-p	present , passive voice	Kale 360
prf-a	perfect , active voice	Kale 306
prf-m	perfect , middle voice	Kale 306
