; Class 9 roots.
; ------------------------------------------
; Conjugations shown in Deshpande,  Lesson 31
; ------------------------------------------
;9,a,opt	naB	103699
;9,m,pre	naB	103699
;9,m,ipf	naB	103699
;9,m,ipv	naB	103699
;9,m,opt	naB	103699
;9,a,pre	pf	128300
;9,a,ipf	pf	128300
;9,a,ipv	pf	128300
;9,a,opt	pf	128300
;9,a,pre	pF	128909
;9,a,ipf	pF	128909
;9,a,ipv	pF	128909
;9,a,opt	pF	128909
;9,a,pre	pruz	140871
;9,a,ipf	pruz	140871
;9,a,ipv	pruz	140871
;9,a,opt	pruz	140871
;9,a,pre	pluz	141564
;9,a,ipf	pluz	141564
;9,a,ipv	pluz	141564
;9,a,opt	pluz	141564
;9,m,pre	banD	142512
;9,m,ipf	banD	142512
;9,m,ipv	banD	142512
;9,m,opt	banD	142512
;9,a,pre	BrI	153766
;9,a,ipf	BrI	153766
;9,a,ipv	BrI	153766
;9,a,opt	BrI	153766
;9,m,pre	maT	155187
;9,m,ipf	maT	155187
;9,m,ipv	maT	155187
;9,m,opt	maT	155187
;9,a,pre	mI	164607
;9,a,ipf	mI	164607
;9,a,ipv	mI	164607
;9,a,opt	mI	164607
;9,m,pre	mI	164607
;9,m,ipf	mI	164607
;9,m,ipv	mI	164607
;9,m,opt	mI	164607
;9,m,pre	muz	165859
;9,m,ipf	muz	165859
;9,m,ipv	muz	165859
;9,m,opt	muz	165859
;9,a,pre	mfq	167161
;9,a,ipf	mfq	167161
;9,a,ipv	mfq	167161
;9,a,opt	mfq	167161
;9,a,pre	mfd	167219
;9,a,ipf	mfd	167219
;9,a,ipv	mfd	167219
;9,a,opt	mfd	167219
;9,a,pre	yu	171682,171694
;9,a,ipf	yu	171682,171694
;9,a,ipv	yu	171682,171694
;9,a,opt	yu	171682,171694
;9,m,pre	yu	171682,171694
;9,m,ipf	yu	171682,171694
;9,m,ipv	yu	171682,171694
;9,m,opt	yu	171682,171694
;9,a,pre	rI	178179
;9,a,ipf	rI	178179
;9,a,ipv	rI	178179
;9,a,opt	rI	178179
;9,a,pre	lI	182753
;9,a,ipf	lI	182753
;9,a,ipv	lI	182753
;9,a,opt	lI	182753
;9,a,pre	viz	201614,201878
;9,a,ipf	viz	201614,201878
;9,a,ipv	viz	201614,201878
;9,a,opt	viz	201614,201878
;9,a,pre	vlI	210822
;9,a,ipf	vlI	210822
;9,a,ipv	vlI	210822
;9,a,opt	vlI	210822
;9,a,pre	Sam	212911
;9,a,ipf	Sam	212911
;9,a,ipv	Sam	212911
;9,a,opt	Sam	212911
;9,m,pre	Sam	212911
;9,m,ipf	Sam	212911
;9,m,ipv	Sam	212911
;9,m,opt	Sam	212911
;9,a,pre	SF	220783
;9,a,ipf	SF	220783
;9,a,ipv	SF	220783
;9,a,opt	SF	220783
;9,m,pre	SF	220783
;9,m,ipf	SF	220783
;9,m,ipv	SF	220783
;9,m,opt	SF	220783
;9,a,pre	SraT	222382
;9,a,ipf	SraT	222382
;9,a,ipv	SraT	222382
;9,a,opt	SraT	222382
;9,m,pre	SraT	222382
;9,m,ipf	SraT	222382
;9,m,ipv	SraT	222382
;9,m,opt	SraT	222382
;9,a,pre	SrI	222857
;9,a,ipf	SrI	222857
;9,a,ipv	SrI	222857
;9,a,opt	SrI	222857
;9,m,pre	SrI	222857
;9,m,ipf	SrI	222857
;9,m,ipv	SrI	222857
;9,m,opt	SrI	222857
;9,a,pre	si	243722
;9,a,ipf	si	243722
;9,a,ipv	si	243722
;9,a,opt	si	243722
;9,m,pre	si	243722
;9,m,ipf	si	243722
;9,m,ipv	si	243722
;9,m,opt	si	243722
;9,a,pre	skamB	254241
;9,a,ipf	skamB	254241
;9,a,ipv	skamB	254241
;9,a,opt	skamB	254241
;9,a,pre	sku	254257
;9,a,ipf	sku	254257
;9,a,ipv	sku	254257
;9,a,opt	sku	254257
;9,m,pre	sku	254257
;9,m,ipf	sku	254257
;9,m,ipv	sku	254257
;9,m,opt	sku	254257
;9,a,pre	stf	254842
;9,a,ipf	stf	254842
;9,a,ipv	stf	254842
;9,a,opt	stf	254842
;9,m,pre	stf	254842
;9,m,ipf	stf	254842
;9,m,ipv	stf	254842
;9,m,opt	stf	254842
;9,m,pre	hf	263626,263654
;9,m,ipf	hf	263626,263654
;9,m,ipv	hf	263626,263654
;9,m,opt	hf	263626,263654
