stem a-kza-min+I , without pada -> akzamiRI
stem pra-pAyin+I , without pada -> prapAyiRI
stem pra-BaNgin+I , without pada -> praBaNgiRI
stem pra-BAvin+I , without pada -> praBAviRI
stem pra-mehin+I , without pada -> pramehiRI
stem pra-mApin+I , without pada -> pramApiRI
stem pra-mohin+I , without pada -> pramohiRI
stem pra-yApin+I , without pada -> prayApiRI
stem pra-yAyin+I , without pada -> prayAyiRI
stem pra-vApin+I , without pada -> pravApiRI
stem pra-vAhin+I , without pada -> pravAhiRI
stem pra-vepin+I , without pada -> pravepiRI
stem prAg-gAmin+I , without pada -> prAggAmiRI
stem prAyo-BAvin+I , without pada -> prAyoBAviRI
stem bahir-gAmin+I , without pada -> bahirgAmiRI
stem BAra-vAhin+I , without pada -> BAravAhiRI
stem manTara-gAmin+I , without pada -> manTaragAmiRI
stem mAtf-gAmin+I , without pada -> mAtfgAmiRI
stem roma-vAhin+I , without pada -> romavAhiRI
stem vastra-yugin+I , without pada -> vastrayugiRI
stem vAri-vAhin+I , without pada -> vArivAhiRI
stem vi-mArga-gAmin+I , without pada -> vimArgagAmiRI
stem vIrya-vAhin+I , without pada -> vIryavAhiRI
stem vrIhi-vApin+I , without pada -> vrIhivApiRI
stem SanEr-mehin+I , without pada -> SanErmehiRI
stem SIGra-kopin+I , without pada -> SIGrakopiRI
stem SIGra-gAmin+I , without pada -> SIGragAmiRI
stem SIGra-pAyin+I , without pada -> SIGrapAyiRI
stem SIGra-yAyin+I , without pada -> SIGrayAyiRI
stem SIGra-vAhin+I , without pada -> SIGravAhiRI
stem Sukra-mehin+I , without pada -> SukramehiRI
stem saM-harza-yogin+I , without pada -> saMharzayogiRI
stem saM-cara-BAgin+I , without pada -> saMcaraBAgiRI
stem sam-udra-gAmin+I , without pada -> samudragAmiRI
stem sarpir-mehin+I , without pada -> sarpirmehiRI
stem sarva-kAmin+I , without pada -> sarvakAmiRI
stem sarva-gAmin+I , without pada -> sarvagAmiRI
stem sarva-Bogin+I , without pada -> sarvaBogiRI
stem sarva-vyApin+I , without pada -> sarvavyApiRI
stem sarvatra-gAmin+I , without pada -> sarvatragAmiRI
stem sAgara-gAmin+I , without pada -> sAgaragAmiRI
stem sAndra-mehin+I , without pada -> sAndramehiRI
stem sArva-gAmin+I , without pada -> sArvagAmiRI
stem surA-pin+I , without pada -> surApiRI
stem surA-mehin+I , without pada -> surAmehiRI
stem sodDAra-viBAgin+I , without pada -> sodDAraviBAgiRI
stem srag-vin+I , without pada -> sragviRI
stem sva-dAra-gAmin+I , without pada -> svadAragAmiRI
stem svarga-gAmin+I , without pada -> svargagAmiRI
stem haridrA-mehin+I , without pada -> haridrAmehiRI
